Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,F1_macro_test_set,Precision test set,recall test set,roc_auc test set,accuracy test set,mcc test set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,alpha,gamma,lambda_focal,Best epoch
gat,15,0.7692307692307693,0.7395794909627443,0.8013589128697043,0.9077940430955436,0.8402814657461498,0.6486291712441649,0.7487600152613507,0.7335077555597085,0.764660042859926,0.8914823924309359,0.8298229745445148,0.6204872282653153,32,0.0001190938309388,"[2560, 1280, 1280, 1280, 640]","[2560, 1280, 1280, 1280, 1280]","[1280, 640]",50,True,0.6532217835993415,0.25,2.0,0,12
gat,16,0.7686200378071835,0.7291965566714491,0.8125499600319744,0.9109673692457564,0.8374933616569304,0.6461932089246284,0.7691452912306695,0.7329685845393575,0.8090785115916618,0.9108061099170004,0.8389326786406512,0.6477870103558964,32,0.0001084411597374,"[2560, 1280, 640]","[1280, 640]","[2560, 640]",102,True,0.4348107086073727,0.25,2.0,0,5
gat,17,0.7784608861564553,0.8288939051918736,0.7338129496402878,0.9001915366315298,0.8612586298459904,0.6806755794073063,0.7633232016210739,0.7952290479206249,0.7338788233002143,0.8855663140077608,0.8490761080242926,0.6539340695029916,32,0.0001585900188731,"[2560, 1280, 1280, 1280, 1280]","[2560, 2560, 2560, 1280]","[2560, 2560, 2560, 1280]",75,True,0.6908170479714002,0.25,2.0,0,2
gat,18,0.000793965859468,0.0588235294117647,0.0003996802557953,0.6082571715987051,0.6658258098778544,-0.0276042697127671,0.0003870718018192,0.0294117647058823,0.0001948178453146,0.6141749897388716,0.666300555627342,-0.0301194512535344,32,5.004051526182036e-05,[2560],"[2560, 1280]","[2560, 1280, 640]",108,True,0.9925168329061412,0.25,2.0,0,0
gat,19,0.8131188118811882,0.840153452685422,0.7877697841726619,0.9202175833885576,0.8797132235793946,0.7253859383213389,0.7799498746867168,0.8033870301528294,0.7578414182739139,0.9004294090390396,0.858185812120429,0.6760887917217454,32,8.274176739821892e-05,"[2560, 1280]",[1280],"[2560, 1280]",56,True,0.3308910019690028,0.25,2.0,0,5
gat,20,0.7943962115232833,0.7844894777864381,0.8045563549160671,0.9242889187655838,0.8616569304301647,0.6903045604032821,0.7745154480905776,0.7630932123274721,0.78628482368985,0.907167149850704,0.8481715983977258,0.6602778534771493,32,8.585090633989873e-05,"[2560, 1280]",[1280],[640],54,True,0.3513004803022951,0.25,2.0,0,4
gat,21,0.7864864864864866,0.9009287925696594,0.697841726618705,0.9151598005889524,0.8741370154009559,0.7107498180962067,0.7684954280964256,0.8234246270318415,0.7204363919735047,0.8918355315547001,0.8560537537149503,0.6678484877958447,32,6.895516805114928e-05,"[2560, 1280]","[2560, 1280, 1280, 640]","[2560, 1280, 1280, 1280, 1280]",68,True,0.5233286935540855,0.25,2.0,0,1
gat,22,0.7598402738163149,0.7247007616974973,0.7985611510791367,0.907432225194,0.8323154540626659,0.6332482830865063,0.7528079457904019,0.7189716312056738,0.789986362750828,0.8992440050669589,0.8279493474609123,0.6229340168500767,32,0.000132832930609,"[2560, 1280, 1280]","[2560, 1280, 1280, 1280, 640]",[1280],87,True,0.247090775953744,0.25,2.0,0,5
gat,23,0.7716876971608833,0.7614785992217898,0.7821742605915267,0.9069576545523024,0.8462559745087627,0.6559603678721452,0.7565607405286765,0.7414889637111859,0.7722579388271966,0.9044532402802704,0.8351854244734462,0.6323582287534953,32,8.872720238551161e-05,"[2560, 1280]","[2560, 1280, 1280]","[2560, 1280]",60,True,0.4409161067008133,0.25,2.0,0,0
gat,24,0.7562869822485206,0.7037164487267722,0.8173461231015188,0.898534174648353,0.8250132766861391,0.6252100369197503,0.7365524587253683,0.6765041578346649,0.8082992402104032,0.9017335398458988,0.8082439591678512,0.5934292303064609,32,5.279447588851028e-05,"[2560, 1280]",[1280],"[2560, 1280]",115,True,0.5592592136605772,0.25,2.0,0,0
