Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,best epoch
gat,25,0.8176100628930817,0.8333333333333334,0.8024691358024691,0.945690604532545,0.9013605442176872,0.7502948451314034,32,0.0001552832072991,[2560],"[2560, 1280]","[2560, 640]",160,True,0.2922079380534753,0
gat,26,0.8571428571428571,0.9041095890410958,0.8148148148148148,0.9482408856430764,0.9251700680272108,0.808638219940399,16,0.0001585261471321,"[2560, 1280]","[2560, 1280]",[1280],181,True,0.163757660661037,7
gat,27,0.8427672955974842,0.8589743589743589,0.8271604938271605,0.952587955717846,0.9149659863945578,0.7847830697199951,16,8.327165486421958e-05,"[2560, 1280]","[2560, 1280]",[1280],181,True,0.1763537892912848,4
gat,28,0.8311688311688312,0.8767123287671232,0.7901234567901234,0.9508491276879384,0.91156462585034,0.7733940369054161,16,0.0001590639851017,"[2560, 1280]","[2560, 1280]","[2560, 1280]",120,True,0.1753102034577666,5
gat,29,0.7785234899328859,0.8529411764705882,0.7160493827160493,0.9498637918043238,0.8877551020408163,0.7089495497014395,16,0.0001184249171992,"[2560, 1280, 640]","[2560, 1280, 1280, 1280, 640]","[2560, 1280]",139,True,0.371021144304185,10
gat,30,0.802547770700637,0.8289473684210527,0.7777777777777778,0.9284762070364572,0.8945578231292517,0.7314116744489025,16,6.864580290630111e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",165,True,0.2624598127434782,2
gat,31,0.8571428571428571,0.9041095890410958,0.8148148148148148,0.9604706427867618,0.9251700680272108,0.808638219940399,16,8.946109700277452e-05,"[2560, 1280, 640]",[2560],[1280],184,True,0.1732545371174331,6
gat,32,0.7538461538461538,1.0,0.6049382716049383,0.9400683939025096,0.891156462585034,0.7252075054258097,16,9.032113893650656e-05,"[2560, 1280]","[2560, 1280]",[1280],139,True,0.0954831413529045,1
gat,33,0.7675675675675676,0.6826923076923077,0.8765432098765432,0.9420390656697386,0.8537414965986394,0.6742851111433743,16,0.0001124243743328,"[2560, 1280]","[2560, 1280]","[2560, 1280]",179,True,0.3515335068538688,5
gat,34,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.9418651828667478,0.891156462585034,0.7273517649104504,16,0.0001726798704241,"[2560, 1280]","[2560, 1280]","[2560, 1280]",156,True,0.2202166690568671,1
