Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,F1_macro_test_set,Precision test set,recall test set,roc_auc test set,accuracy test set,mcc test set,Batch size,Learning rate,num_heads_gat,num_heads_attention,activation_attention,dropout_gat,num_heads_descriptors_cross_attention,prediction_layers,dropout_attention,patience,best_epoch
gat,10,0.8173628173628174,0.8361960620025136,0.7993592310772928,0.9228913027311026,0.8815719596388741,0.7302112429002179,0.7768209907810758,0.8166134185303514,0.740726429675425,0.9080236760947664,0.8576689494766766,0.674427233420538,64,0.0006877521061669,8,4,ReLU(),0.3,5,"[2048, 1024, 1024]",0.1,5,4
gat,11,0.7982176957352005,0.848826714801444,0.7533039647577092,0.908484819320424,0.8737387148167818,0.7094842736359717,0.7818921668362157,0.8257412978083369,0.7424652241112828,0.902426304431516,0.8614808114743507,0.6828896768892094,64,0.0001945782800709,4,8,LeakyReLU(negative_slope=0.01),0.5,5,[2048],0.2,5,2
gat,12,0.7892736486486486,0.8347476552032157,0.7484981978374049,0.914633090990221,0.8674986723313861,0.6952530336312954,0.7715017939518195,0.8217951517798646,0.7270092735703245,0.899183519758922,0.8559891458844812,0.6696087331174095,64,0.0002683279162571,4,1,LeakyReLU(negative_slope=0.01),0.5,5,[256],0.2,5,7
gat,13,0.7852900867976246,0.9138755980861244,0.6884261113336003,0.9138931762802552,0.8751991502920871,0.713710616446448,0.8033909357678511,0.9182608695652174,0.714064914992272,0.9083311410398244,0.8831244346814834,0.7336384455484956,64,9.46096706746355e-05,8,8,LeakyReLU(negative_slope=0.01),0.3,5,[512],0.3,5,0
gat,14,0.7895204262877443,0.8858993522670653,0.7120544653584301,0.8992226222609137,0.8741370154009559,0.7097686176101355,0.797987210399413,0.8723355489342196,0.7353168469860897,0.9086644202878328,0.8755007106861351,0.7143595829414086,64,0.0001151343729969,8,8,Tanh(),0.1,5,"[2048, 1024, 1024]",0.5,5,4
gat,15,0.7920621225194132,0.8583450210378681,0.7352823388065679,0.8966115048087496,0.8720127456186936,0.7047885236375128,0.7786655598215211,0.8410670253306434,0.7248840803709428,0.9070720913122314,0.8621914976095103,0.6833690880176061,64,0.0004235645222391,4,8,LeakyReLU(negative_slope=0.01),0.5,5,"[2048, 1024]",0.1,5,4
gat,16,0.7773336468375265,0.9413439635535308,0.6619943932719263,0.9109902289897828,0.8742697822623473,0.7142582567661114,0.7626119240008735,0.8769462581617278,0.6746522411128284,0.8996022121873065,0.8595425765602791,0.67680389483882,64,0.0012966956856342,2,2,ELU(alpha=1.0),0.2,5,"[2048, 2048, 2048, 1024]",0.2,5,0
gat,17,0.7807675341861491,0.8689248895434463,0.7088506207448939,0.9048149537140696,0.8680297397769516,0.695049138496875,0.7824561403508772,0.8398316349136021,0.73241885625966,0.907688137040361,0.8638066933712366,0.6873958656913197,64,0.0011012802750155,1,1,ReLU(),0.5,5,"[512, 256]",0.2,5,2
gat,18,0.8097862023363457,0.9004901960784314,0.73568281938326,0.9120443638622554,0.8854221986192247,0.7366166233421831,0.7829905741216795,0.8786057692307693,0.7061437403400309,0.9019670667630452,0.8691045354696989,0.6993165609864372,64,0.0002893322839365,8,4,Tanh(),0.1,5,[512],0.2,5,6
gat,19,0.7728026533996682,0.9460556844547564,0.6531838205847016,0.8903096029038222,0.8726765799256505,0.7112209592848834,0.7912730544309492,0.9467168998923574,0.6796754250386399,0.901498171000844,0.8800878666494379,0.7294965824905726,16,5.477235521918674e-05,4,8,LeakyReLU(negative_slope=0.01),0.4,5,"[2048, 1024]",0.3,5,0
gat,20,0.7835283528352835,0.8941961992809451,0.697236684020825,0.8900365443497441,0.8722782793414764,0.7057195042939972,0.7962480458572172,0.864448970355284,0.7380216383307573,0.9033681936131608,0.8736916914330016,0.7101804326887149,64,0.0001383007002695,8,8,LeakyReLU(negative_slope=0.01),0.3,5,[512],0.5,5,2
gat,21,0.7827097373925169,0.9324473975636768,0.6744092911493793,0.8921431437685501,0.8758629845990441,0.7168979487851512,0.7905070118662351,0.8949682462139716,0.7078825347758887,0.8944410300426351,0.8745315932290993,0.7125314792074889,64,0.0002988811201786,8,4,Tanh(),0.1,5,[512],0.2,5,0
gat,22,0.7840812870448773,0.8316120341266278,0.7416900280336404,0.9041564475185516,0.8645778013807753,0.6882871318594034,0.7813634948635468,0.843981170141224,0.7273956723338485,0.9063669379484546,0.8638713012017056,0.6872996305640646,64,0.0002990801655841,8,4,Tanh(),0.1,5,"[2048, 1024]",0.2,5,7
gat,23,0.7979162144562622,0.8710900473933649,0.7360832999599519,0.9027196488815376,0.8763940520446096,0.7150090358109288,0.7834468308014667,0.8558022430762188,0.7223724884080371,0.8997251887885398,0.8664556144204678,0.6930665389191683,64,0.000182478879875,8,4,Tanh(),0.1,5,"[256, 128]",0.2,5,5
