Model type,Trial,F1_macro_validation_set,Precision validation set,recall validation set,roc_auc validation set,accuracy validation set,mcc validation set,F1_macro_test_set,Precision test set,recall test set,roc_auc test set,accuracy test set,mcc test set,Batch size,Learning rate,Protein layers,Compound layers,Final head layers,Epochs,batch_norm,dropout,alpha,gamma,lambda_focal,Best epoch
gat,32,0.7612546125461255,0.7069910897875257,0.8245403677058354,0.9125101906546332,0.8281996813595327,0.6328427853100985,0.7604527172387989,0.7313781935948183,0.7919345412039743,0.905427866221062,0.8345393461687557,0.6355529540126252,64,0.0001090194197117,"[2560, 1280]","[1280, 640]","[2560, 1280, 1280]",110,True,0.3532282415700696,0.75,1.0,0.8,1
gat,33,0.8043385793279455,0.8595454545454545,0.7557953637090328,0.913389129650554,0.877854487519915,0.7192144441215164,0.7800286474319624,0.8213747037276449,0.7426456263393727,0.8984869932017141,0.8610931644915364,0.6807430094080821,64,7.298711956869469e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",123,True,0.2519938656409343,0.5,1.0,0.8,2
gat,34,0.790852228303362,0.7739097169089518,0.8085531574740208,0.9237116469845992,0.8579394583112055,0.6837465854529042,0.7827278958190541,0.7868110236220472,0.7786869277225794,0.9103746764295924,0.8566352241891717,0.6757766134652972,64,6.495904813605635e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",121,True,0.0825987066749084,0.5,1.0,0.8,2
gat,35,0.7572463768115942,0.7627737226277372,0.7517985611510791,0.8784927525176678,0.8398831651619756,0.6378397684777797,0.788474913065077,0.8045417680454177,0.7730372102084551,0.9091221172679136,0.8624499289313865,0.6869259189535839,64,0.0001366088320264,[640],"[2560, 1280]","[2560, 1280]",148,True,0.2336797163731384,0.5,2.0,0.8,2
gat,36,0.782051282051282,0.810197086546701,0.7557953637090328,0.9101937535458712,0.8600637280934679,0.6800736272868292,0.7700380697602633,0.8159616223288269,0.7290083771673486,0.8933214578250437,0.8556014989016669,0.6675260354035498,64,6.793277672658852e-05,"[2560, 1280, 1280, 1280, 1280]","[2560, 1280, 1280, 1280]","[2560, 1280]",137,False,0.1668632928315001,0.5,5.0,0.8,0
gat,37,0.7779136104319478,0.7934330839567747,0.7629896083133493,0.9062907526861216,0.8552841210833776,0.6709311093358662,0.770762796255726,0.7883479323691179,0.7539450613676213,0.9019590633941412,0.8512727742602404,0.6611343130786315,32,0.0001815484058839,"[2560, 1280]","[2560, 1280]","[2560, 1280]",166,True,0.2406891897848947,0.5,0.5,0.6,3
gat,38,0.7841373671300081,0.802510460251046,0.7665867306155076,0.8815271043602493,0.859798194370685,0.6807947613431874,0.7473775382542585,0.7384937238493724,0.7564776933567114,0.8854915129945574,0.8304044450187362,0.6198629048293665,64,0.0005939393430136,"[2560, 1280]","[2560, 1280]","[2560, 1280]",114,False,0.0663651488398954,0.5,1.0,0.8,3
gat,39,0.7824928639391056,0.7468216491100618,0.8217426059152678,0.9108581524442476,0.8482474774296336,0.6681706040951733,0.7639162677180137,0.7371376811594202,0.7927138125852328,0.9122678181352344,0.8375113063703321,0.6412751195499059,64,5.066019418130247e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",86,True,0.1390883713217939,0.1,2.0,0.4,0
gat,40,0.7879389010117042,0.7821977156360772,0.7937649880095923,0.904030930325322,0.858072225172597,0.6813342970062736,0.7700037921880925,0.7499538319482918,0.7911552698227158,0.91156168112829,0.8432614032820778,0.6517934532257458,64,8.848955000759014e-05,"[2560, 1280]","[2560, 1280, 1280]","[2560, 1280]",127,True,0.2852091273929612,0.5,3.0,0.2,2
gat,41,0.7931914893617021,0.8480436760691538,0.7450039968025579,0.9074460511113972,0.8709506107275624,0.7030766760217189,0.7846294975028031,0.8227875160324926,0.749853886616014,0.9105658973480384,0.8634836542188913,0.6865959305267804,64,6.74244522253195e-05,"[1280, 640]","[2560, 1280]","[1280, 640]",103,True,0.3142000587753276,0.75,1.0,0.8,0
gat,42,0.7784896136672491,0.7568893922234805,0.8013589128697043,0.9083161303958822,0.8485130111524164,0.664154929741466,0.7688266199649737,0.7679300291545189,0.7697253068381064,0.8992896728557349,0.8464917948055304,0.653923123670129,64,8.863244681051532e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",97,True,0.2570330455835684,0.75,1.0,0.8,0
gat,43,0.7791215786123489,0.830393487109905,0.7338129496402878,0.9019928788579474,0.8617896972915561,0.6818573803803092,0.7736566320764411,0.8184782608695652,0.733489187609585,0.8996597514335212,0.8576689494766766,0.6724503061811188,64,0.0001257072436403,"[2560, 1280, 1280]","[2560, 1280]","[2560, 1280]",197,True,0.1864951818238676,0.75,1.0,0.8,0
gat,44,0.792279411764706,0.931891891891892,0.689048760991207,0.9022550945327238,0.8799787573021773,0.7265384956522631,0.797075764288879,0.9237483953786906,0.7009546074420417,0.8939024274265861,0.8816384545806952,0.7293135067645579,16,9.324801316879048e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280]",109,False,0.3654608134141026,0.75,1.0,0.8,0
gat,45,0.8031296257136816,0.8527166591827571,0.7589928057553957,0.9144293710161095,0.8763940520446096,0.7160595792361646,0.7772041302621128,0.7924681109536343,0.762517046561465,0.9032978452242368,0.8550200284274454,0.6700855955777367,16,5.9550340460614776e-05,"[2560, 2560, 2560, 1280]","[2560, 1280]","[2560, 1280, 1280, 1280, 1280]",112,False,0.4397533045457442,0.75,5.0,0.8,10
gat,46,0.7915250849490305,0.7916833266693323,0.7913669064748201,0.9097773073787492,0.8615241635687733,0.6878574944817971,0.7780275632880462,0.7806983130639467,0.7753750243522307,0.9099438549847144,0.8532756170047809,0.6684604007309017,16,6.37293670093522e-05,"[2560, 1280]","[2560, 1280]","[2560, 1280, 1280, 1280, 1280]",111,False,0.4379755445443369,0.1,5.0,0.2,2
gat,47,0.7615518744551002,0.8374880153403643,0.6982414068745004,0.8866503218896056,0.854753053637812,0.6639798154720391,0.7855147216849344,0.8758686796069973,0.7120592246249756,0.8909450944179179,0.8710427703837705,0.702329135293558,16,9.8985279159259e-05,"[2560, 2560, 2560, 1280]","[2560, 1280]","[2560, 1280]",125,False,0.3751481901789339,0.75,5.0,0.8,0
gat,48,0.7856384108774167,0.8385487528344672,0.7390087929656275,0.904821470855125,0.8660382368560807,0.6916879473596981,0.7858179556292765,0.8397961444715267,0.7383596337424508,0.9002205801278076,0.8665202222509368,0.6924626209094065,16,0.0001622694944739,"[2560, 2560, 2560, 1280]","[2560, 1280]","[2560, 1280]",77,False,0.4754654850710821,0.75,5.0,0.8,4
gat,49,0.7441942917922354,0.6686842943612615,0.8389288569144684,0.9054741495074319,0.8084174190122145,0.6039275825644136,0.7312013828867762,0.6571384185179432,0.8240794856808884,0.9044112070825185,0.7990696472412456,0.5833874034461777,16,0.0001241331154437347,"[2560, 1280]","[2560, 1280]","[2560, 1280]",107,False,0.38010263744557826,0.5,5.0,0.4,0
